,Train,Validation,Test
F1-Score,0.9473 ± 0.0416,0.8646 ± 0.1182,1.0000 ± 0.0000
AUC,0.9789 ± 0.0037,0.9931 ± 0.0055,1.0000 ± 0.0000
FNR,0.0000 ± 0.0000,0.0650 ± 0.0831,0.0000 ± 0.0000
