epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.10705596208572388,91.0,395.0,0.8772813677787781,0.09403669834136963,0.31060606241226196,1189.0,41.0,0.0,5.0,6.0,0.4509209394454956,0.0,0.0,61.0,0.0
1,0.13612565398216248,86.0,373.0,0.8506700992584229,0.10978519916534424,0.3484848439693451,1211.0,46.0,0.0,5.0,6.0,0.45479944348335266,0.0,0.0,61.0,0.0
2,0.13567838072776794,75.0,386.0,0.8322126269340515,0.1286681741476059,0.4318181872367859,1198.0,57.0,0.0,5.0,7.0,0.45866912603378296,0.0,0.0,60.0,0.0
3,0.1550000011920929,87.0,412.0,0.8702617883682251,0.09846827387809753,0.34090909361839294,1172.0,45.0,0.0,5.0,7.0,0.4624803364276886,0.0,0.0,60.0,0.0
4,0.14705881476402283,85.0,421.0,0.8046706914901733,0.10042735189199448,0.35606059432029724,1163.0,47.0,0.0,5.0,7.0,0.465192586183548,0.0,0.0,60.0,0.0
5,0.14215685427188873,86.0,408.0,0.8480173349380493,0.10132158547639847,0.3484848439693451,1176.0,46.0,0.0,5.0,9.0,0.46821320056915283,0.0,0.0,58.0,0.0
6,0.16627076268196106,78.0,436.0,0.8451765775680542,0.11020407825708389,0.40909090638160706,1148.0,54.0,0.0,5.0,9.0,0.4712929129600525,0.0,0.0,58.0,0.0
7,0.15085157752037048,79.0,423.0,0.7635608315467834,0.11134453862905502,0.4015151560306549,1161.0,53.0,0.0,5.0,9.0,0.4737602472305298,0.0,0.0,58.0,0.0
8,0.18227848410606384,80.0,377.0,0.7625687122344971,0.12121212482452393,0.39393940567970276,1207.0,52.0,0.0,5.0,9.0,0.47522300481796265,0.0,0.0,58.0,0.0
9,0.16058394312858582,79.0,433.0,0.763373076915741,0.10905349999666214,0.4015151560306549,1151.0,53.0,0.0,5.0,10.0,0.4777200520038605,0.0,0.0,57.0,0.0
10,0.1304347813129425,79.0,415.0,0.7501243948936462,0.11324786394834518,0.4015151560306549,1169.0,53.0,0.0,5.0,10.0,0.4802819788455963,0.0,0.0,57.0,0.0
11,0.1772727370262146,68.0,456.0,0.7395099997520447,0.1230769231915474,0.4848484992980957,1128.0,64.0,0.0,5.0,10.0,0.4808788299560547,0.0,0.0,57.0,0.0
