epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.14457832276821136,73.0,703.0,0.8597437739372253,0.0846354141831398,0.47101449966430664,875.0,65.0,0.21052633225917816,2.0,21.0,0.618767499923706,0.08695652335882187,0.5,47.0,2.0
1,0.12560386955738068,75.0,639.0,0.8675271272659302,0.08974359184503555,0.45652174949645996,939.0,63.0,0.2352941334247589,2.0,21.0,0.6138648390769958,0.08695652335882187,0.5,47.0,2.0
2,0.12682928144931793,72.0,685.0,0.8470954298973083,0.08788282424211502,0.47826087474823,893.0,66.0,0.25,2.0,21.0,0.6092798113822937,0.08695652335882187,0.5,47.0,2.0
3,0.14018693566322327,70.0,659.0,0.8177216649055481,0.09353507310152054,0.49275362491607666,919.0,68.0,0.25,2.0,21.0,0.604232907295227,0.08695652335882187,0.5,47.0,2.0
4,0.13513514399528503,71.0,683.0,0.8400245904922485,0.08933333307504654,0.4855072498321533,895.0,67.0,0.2666666805744171,2.0,21.0,0.5978372693061829,0.08695652335882187,0.5,47.0,2.0
5,0.14681892096996307,72.0,653.0,0.8128825426101685,0.09179415553808212,0.47826087474823,925.0,66.0,0.2666666805744171,2.0,21.0,0.5921144485473633,0.08695652335882187,0.5,47.0,2.0
6,0.1599999964237213,66.0,662.0,0.7951193451881409,0.09809264540672302,0.52173912525177,916.0,72.0,0.2666666805744171,2.0,20.0,0.5869559049606323,0.09090909361839294,0.5,48.0,2.0
7,0.13884297013282776,69.0,625.0,0.7809510231018066,0.09942363202571869,0.5,953.0,69.0,0.2666666805744171,2.0,20.0,0.5812461376190186,0.09090909361839294,0.5,48.0,2.0
8,0.14862680435180664,75.0,662.0,0.8078238368034363,0.08689655363559723,0.45652174949645996,916.0,63.0,0.2857142984867096,2.0,20.0,0.5764190554618835,0.09090909361839294,0.5,48.0,2.0
9,0.15946844220161438,68.0,628.0,0.7967172265052795,0.10028653591871262,0.5072463750839233,950.0,70.0,0.2857142984867096,2.0,20.0,0.5711725950241089,0.09090909361839294,0.5,48.0,2.0
10,0.1656050831079483,67.0,635.0,0.79908686876297,0.1005665734410286,0.5144927501678467,943.0,71.0,0.2666666805744171,2.0,20.0,0.5666811466217041,0.09090909361839294,0.5,48.0,2.0
11,0.17069242894649506,62.0,632.0,0.7721418738365173,0.10734463483095169,0.5507246255874634,946.0,76.0,0.2666666805744171,2.0,20.0,0.5617486834526062,0.09090909361839294,0.5,48.0,2.0
12,0.1701444536447525,68.0,636.0,0.8030606508255005,0.0991501435637474,0.5072463750839233,942.0,70.0,0.3076923191547394,2.0,20.0,0.5568060278892517,0.09090909361839294,0.5,48.0,2.0
13,0.16993464529514313,59.0,647.0,0.7723912000656128,0.10881542414426804,0.5724637508392334,931.0,79.0,0.3076923191547394,2.0,20.0,0.552765429019928,0.09090909361839294,0.5,48.0,2.0
14,0.17578773200511932,62.0,617.0,0.7441171407699585,0.10966811329126358,0.5507246255874634,961.0,76.0,0.3076923191547394,2.0,19.0,0.5480233430862427,0.095238097012043,0.5,49.0,2.0
15,0.19093851745128632,64.0,662.0,0.76277095079422,0.10054347664117813,0.5362318754196167,916.0,74.0,0.3076923191547394,2.0,19.0,0.5434606671333313,0.095238097012043,0.5,49.0,2.0
16,0.1859649270772934,59.0,613.0,0.7238435745239258,0.11416184902191162,0.5724637508392334,965.0,79.0,0.3076923191547394,2.0,19.0,0.5385892391204834,0.095238097012043,0.5,49.0,2.0
17,0.17627118527889252,55.0,611.0,0.7209941148757935,0.11959654092788696,0.6014492511749268,967.0,83.0,0.3076923191547394,2.0,19.0,0.5333616733551025,0.095238097012043,0.5,49.0,2.0
18,0.20170940458774567,59.0,606.0,0.7301288843154907,0.11532846838235855,0.5724637508392334,972.0,79.0,0.3076923191547394,2.0,19.0,0.5287215113639832,0.095238097012043,0.5,49.0,2.0
19,0.1827767938375473,69.0,603.0,0.7196412682533264,0.1026785746216774,0.5,975.0,69.0,0.3076923191547394,2.0,17.0,0.5245668292045593,0.10526315867900848,0.5,51.0,2.0
20,0.19343695044517517,61.0,609.0,0.72823166847229,0.11224489659070969,0.5579710006713867,969.0,77.0,0.3076923191547394,2.0,17.0,0.5193496942520142,0.10526315867900848,0.5,51.0,2.0
21,0.1686340719461441,64.0,611.0,0.734594464302063,0.10802919417619705,0.5362318754196167,967.0,74.0,0.3076923191547394,2.0,15.0,0.514267086982727,0.11764705926179886,0.5,53.0,2.0
22,0.17297296226024628,55.0,590.0,0.7069879770278931,0.12332838028669357,0.6014492511749268,988.0,83.0,0.3076923191547394,2.0,15.0,0.5099265575408936,0.11764705926179886,0.5,53.0,2.0
23,0.2031523585319519,64.0,615.0,0.723012387752533,0.10740203410387039,0.5362318754196167,963.0,74.0,0.3076923191547394,2.0,15.0,0.50435471534729,0.11764705926179886,0.5,53.0,2.0
24,0.2103448361158371,63.0,590.0,0.7199102640151978,0.11278195679187775,0.54347825050354,988.0,75.0,0.3076923191547394,2.0,15.0,0.5001852512359619,0.11764705926179886,0.5,53.0,2.0
25,0.21305842697620392,49.0,573.0,0.6666027307510376,0.1344410926103592,0.6449275612831116,1005.0,89.0,0.3076923191547394,2.0,14.0,0.4960300028324127,0.125,0.5,54.0,2.0
26,0.2057761549949646,63.0,600.0,0.7235684394836426,0.1111111119389534,0.54347825050354,978.0,75.0,0.3333333432674408,2.0,14.0,0.4922986626625061,0.125,0.5,54.0,2.0
27,0.22342343628406525,54.0,571.0,0.6937095522880554,0.1282442808151245,0.6086956262588501,1007.0,84.0,0.3333333432674408,2.0,14.0,0.48842519521713257,0.125,0.5,54.0,2.0
28,0.1945945918560028,57.0,586.0,0.7003634572029114,0.12143927812576294,0.5869565010070801,992.0,81.0,0.3333333432674408,2.0,13.0,0.4847726821899414,0.13333334028720856,0.5,55.0,2.0
29,0.23928570747375488,48.0,611.0,0.6747955679893494,0.12838801741600037,0.6521739363670349,967.0,90.0,0.3636363744735718,2.0,13.0,0.48012059926986694,0.13333334028720856,0.5,55.0,2.0
30,0.19887427985668182,64.0,557.0,0.6934083700180054,0.11727416515350342,0.5362318754196167,1021.0,74.0,0.3636363744735718,2.0,12.0,0.47649723291397095,0.1428571492433548,0.5,56.0,2.0
31,0.20036429166793823,53.0,557.0,0.6606205105781555,0.13239875435829163,0.6159420013427734,1021.0,85.0,0.3636363744735718,2.0,12.0,0.4724569320678711,0.1428571492433548,0.5,56.0,2.0
32,0.22803737223148346,53.0,572.0,0.6623841524124146,0.12937594950199127,0.6159420013427734,1006.0,85.0,0.4000000059604645,2.0,12.0,0.46869128942489624,0.1428571492433548,0.5,56.0,2.0
33,0.23018868267536163,51.0,553.0,0.6546539068222046,0.13593749701976776,0.6304348111152649,1025.0,87.0,0.444444477558136,2.0,10.0,0.46440184116363525,0.1666666716337204,0.5,58.0,2.0
34,0.25641024112701416,49.0,544.0,0.6589050889015198,0.1406003087759018,0.6449275612831116,1034.0,89.0,0.444444477558136,2.0,10.0,0.4597282409667969,0.1666666716337204,0.5,58.0,2.0
35,0.27290448546409607,48.0,528.0,0.6265697479248047,0.1456310749053955,0.6521739363670349,1050.0,90.0,0.444444477558136,2.0,10.0,0.4553843140602112,0.1666666716337204,0.5,58.0,2.0
36,0.24444444477558136,51.0,542.0,0.6465284824371338,0.13831478357315063,0.6304348111152649,1036.0,87.0,0.444444477558136,2.0,9.0,0.4514314830303192,0.1818181872367859,0.5,59.0,2.0
