"Name","epochs","f1_score","false_negatives","false_positives","loss","precision","recall","true_negatives","true_positives","val_f1_score","val_false_negatives","val_false_positives","val_loss","val_precision","val_recall","val_true_negatives","val_true_positives"
"winter-yogurt-164","100","0.8854340314865112","122","122","0.28062525391578674","0.8807429075241089","0.8807429075241089","901","901","0.8775509595870972","6","6","0.3437514007091522","0.8775510191917419","0.8775510191917419","43","43"
"major-leaf-167","100","0.8854340314865112","122","122","0.28335800766944885","0.8807429075241089","0.8807429075241089","901","901","0.8590215444564819","7","7","0.3805878758430481","0.8571428656578064","0.8571428656578064","42","42"
"dauntless-firefly-163","100","0.8779214024543762","130","130","0.2998202443122864","0.8729227781295776","0.8729227781295776","893","893","0.8367346525192261","8","8","0.37263962626457214","0.8367347121238708","0.8367347121238708","41","41"
"rich-lake-165","100","0.8781154155731201","130","130","0.2987704575061798","0.8729227781295776","0.8729227781295776","893","893","0.8549895882606506","7","7","0.3970496654510498","0.8571428656578064","0.8571428656578064","42","42"
"young-aardvark-166","100","0.8717014789581299","137","137","0.2936351001262665","0.8660801649093628","0.8660801649093628","886","886","0.8367346525192261","8","8","0.3622168004512787","0.8367347121238708","0.8367347121238708","41","41"
