epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.14950819313526154,0.0,1297.0,1.1073681116104126,0.08079376071691513,1.0,311.0,114.0,0.21333332359790802,0.0,59.0,1.4400018453598022,0.11940298229455948,1.0,4.0,8.0
1,0.1780603975057602,2.0,1032.0,0.7602858543395996,0.0979020968079567,0.9824561476707458,576.0,112.0,0.2711864411830902,0.0,43.0,0.9057515263557434,0.1568627506494522,1.0,20.0,8.0
2,0.2189054787158966,4.0,781.0,0.5806434154510498,0.12345679104328156,0.9649122953414917,827.0,110.0,0.4705882668495178,0.0,18.0,0.5625197291374207,0.3076923191547394,1.0,45.0,8.0
3,0.27764129638671875,1.0,587.0,0.3899867832660675,0.1614285707473755,0.9912280440330505,1021.0,113.0,0.6666666865348816,0.0,8.0,0.3520311415195465,0.5,1.0,55.0,8.0
4,0.3781094551086426,0.0,375.0,0.2817227244377136,0.23312883079051971,1.0,1233.0,114.0,0.7272727489471436,0.0,6.0,0.2284625917673111,0.5714285969734192,1.0,57.0,8.0
5,0.4556451439857483,1.0,269.0,0.21242736279964447,0.2958115041255951,0.9912280440330505,1339.0,113.0,0.9411765336990356,0.0,1.0,0.1535370796918869,0.8888888955116272,1.0,62.0,8.0
6,0.5397590398788452,2.0,189.0,0.18037433922290802,0.3720930218696594,0.9824561476707458,1419.0,112.0,1.0,0.0,0.0,0.10591572523117065,1.0,1.0,63.0,8.0
7,0.5931758284568787,1.0,154.0,0.15313267707824707,0.4232209622859955,0.9912280440330505,1454.0,113.0,1.0,0.0,0.0,0.07735983282327652,1.0,1.0,63.0,8.0
8,0.6530612111091614,2.0,117.0,0.13834549486637115,0.4890829622745514,0.9824561476707458,1491.0,112.0,1.0,0.0,0.0,0.059804391115903854,1.0,1.0,63.0,8.0
9,0.7290322780609131,1.0,83.0,0.111726775765419,0.5765306353569031,0.9912280440330505,1525.0,113.0,1.0,0.0,0.0,0.04725702852010727,1.0,1.0,63.0,8.0
10,0.7635135054588318,1.0,69.0,0.09201072156429291,0.6208791136741638,0.9912280440330505,1539.0,113.0,1.0,0.0,0.0,0.03805704787373543,1.0,1.0,63.0,8.0
11,0.7874563932418823,1.0,60.0,0.08603080362081528,0.6531791687011719,0.9912280440330505,1548.0,113.0,1.0,0.0,0.0,0.030925676226615906,1.0,1.0,63.0,8.0
12,0.8201438784599304,0.0,50.0,0.07276594638824463,0.6951219439506531,1.0,1558.0,114.0,1.0,0.0,0.0,0.02570994570851326,1.0,1.0,63.0,8.0
13,0.8444444537162781,0.0,42.0,0.06463970243930817,0.7307692170143127,1.0,1566.0,114.0,1.0,0.0,0.0,0.021535998210310936,1.0,1.0,63.0,8.0
14,0.8571428656578064,0.0,38.0,0.0520424023270607,0.75,1.0,1570.0,114.0,1.0,0.0,0.0,0.01835152693092823,1.0,1.0,63.0,8.0
15,0.8941176533699036,0.0,27.0,0.05220026895403862,0.8085106611251831,1.0,1581.0,114.0,1.0,0.0,0.0,0.01595313847064972,1.0,1.0,63.0,8.0
16,0.887159526348114,0.0,29.0,0.043658506125211716,0.7972028255462646,1.0,1579.0,114.0,1.0,0.0,0.0,0.01395145058631897,1.0,1.0,63.0,8.0
17,0.9268292784690857,0.0,18.0,0.045218247920274734,0.8636363744735718,1.0,1590.0,114.0,1.0,0.0,0.0,0.012365015223622322,1.0,1.0,63.0,8.0
18,0.8906250596046448,0.0,28.0,0.04257246479392052,0.8028169274330139,1.0,1580.0,114.0,1.0,0.0,0.0,0.010943283326923847,1.0,1.0,63.0,8.0
19,0.942148745059967,0.0,14.0,0.03395694121718407,0.890625,1.0,1594.0,114.0,1.0,0.0,0.0,0.009832348674535751,1.0,1.0,63.0,8.0
