epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.06910568475723267,121.0,337.0,1.638486623764038,0.04802259802818298,0.12318840622901917,1247.0,17.0,0.0,4.0,2.0,0.3597562909126282,0.0,0.0,65.0,0.0
1,0.13333334028720856,108.0,282.0,1.2299257516860962,0.09615384787321091,0.21739129722118378,1302.0,30.0,0.0,4.0,2.0,0.2783534526824951,0.0,0.0,65.0,0.0
2,0.19191917777061462,100.0,220.0,1.095876932144165,0.1472868174314499,0.2753623127937317,1364.0,38.0,0.0,4.0,1.0,0.2156960368156433,0.0,0.0,66.0,0.0
3,0.2666666805744171,88.0,187.0,0.7895845770835876,0.2109704613685608,0.36231884360313416,1397.0,50.0,0.4000000059604645,3.0,0.0,0.17606469988822937,1.0,0.25,67.0,1.0
4,0.39010992646217346,67.0,155.0,0.6524816155433655,0.3141593039035797,0.5144927501678467,1429.0,71.0,0.6666666865348816,2.0,0.0,0.14187009632587433,1.0,0.5,67.0,2.0
5,0.45144355297088623,52.0,157.0,0.48947083950042725,0.3539094626903534,0.6231883764266968,1427.0,86.0,0.8571428656578064,1.0,0.0,0.11738961189985275,1.0,0.75,67.0,3.0
6,0.5287356376647949,46.0,118.0,0.4640486538410187,0.43809524178504944,0.6666666865348816,1466.0,92.0,1.0,0.0,0.0,0.09591197967529297,1.0,1.0,67.0,4.0
7,0.5549450516700745,37.0,125.0,0.4038124084472656,0.44690266251564026,0.7318840622901917,1459.0,101.0,1.0,0.0,0.0,0.08102673292160034,1.0,1.0,67.0,4.0
8,0.6071428060531616,36.0,96.0,0.3239870071411133,0.5151515007019043,0.739130437374115,1488.0,102.0,1.0,0.0,0.0,0.0674763098359108,1.0,1.0,67.0,4.0
9,0.704402506351471,26.0,68.0,0.27027052640914917,0.6222222447395325,0.8115941882133484,1516.0,112.0,1.0,0.0,0.0,0.05713006854057312,1.0,1.0,67.0,4.0
10,0.6985074877738953,21.0,80.0,0.24965764582157135,0.5939086079597473,0.8478260636329651,1504.0,117.0,1.0,0.0,0.0,0.04907559975981712,1.0,1.0,67.0,4.0
11,0.7592592835426331,15.0,63.0,0.18808859586715698,0.6612903475761414,0.8913043737411499,1521.0,123.0,1.0,0.0,0.0,0.04087347164750099,1.0,1.0,67.0,4.0
12,0.8167202472686768,11.0,46.0,0.15799540281295776,0.7341040372848511,0.9202898740768433,1538.0,127.0,1.0,0.0,0.0,0.0345761701464653,1.0,1.0,67.0,4.0
13,0.8451613187789917,7.0,41.0,0.15429992973804474,0.7616279125213623,0.9492753744125366,1543.0,131.0,1.0,0.0,0.0,0.030251428484916687,1.0,1.0,67.0,4.0
14,0.8580645322799683,5.0,39.0,0.12989318370819092,0.7732558250427246,0.9637681245803833,1545.0,133.0,1.0,0.0,0.0,0.026233525946736336,1.0,1.0,67.0,4.0
15,0.8666666746139526,8.0,32.0,0.13431744277477264,0.8024691343307495,0.9420289993286133,1552.0,130.0,1.0,0.0,0.0,0.02351583167910576,1.0,1.0,67.0,4.0
16,0.9090908765792847,3.0,24.0,0.09992851316928864,0.849056601524353,0.97826087474823,1560.0,135.0,1.0,0.0,0.0,0.021167507395148277,1.0,1.0,67.0,4.0
17,0.9084745645523071,4.0,23.0,0.10018334537744522,0.8535031676292419,0.9710144996643066,1561.0,134.0,1.0,0.0,0.0,0.018691180273890495,1.0,1.0,67.0,4.0
