,Train,Validation,Test
F1-Score,1.0000 ± 0.0000,0.9778 ± 0.0444,0.6381 ± 0.0571
AUC,0.9998 ± 0.0002,1.0000 ± 0.0000,0.9592 ± 0.0201
FNR,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4889 ± 0.0544
