,Train,Validation,Test
F1-Score,0.9949 ± 0.0064,0.9314 ± 0.0859,0.8000 ± 0.0000
AUC,0.9996 ± 0.0003,1.0000 ± 0.0000,0.9903 ± 0.0000
FNR,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3333 ± 0.0000
