epoch,f1_score,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.037854891270399094,120.0,493.0,1.0000149011611938,0.035225048661231995,0.1304347813129425,1085.0,18.0,0.2857142686843872,3.0,7.0,0.5138578414916992,0.125,0.25,61.0,1.0
1,0.04375000298023224,119.0,500.0,0.9361348152160645,0.03660886362195015,0.13768115639686584,1078.0,19.0,0.3333333432674408,3.0,5.0,0.49969086050987244,0.1666666716337204,0.25,63.0,1.0
2,0.08771929889917374,101.0,490.0,0.8780138492584229,0.07020872831344604,0.26811593770980835,1088.0,37.0,0.4000000059604645,3.0,5.0,0.4841855466365814,0.1666666716337204,0.25,63.0,1.0
3,0.09756097942590714,97.0,501.0,0.8302037715911865,0.07564575970172882,0.2971014380455017,1077.0,41.0,0.4000000059604645,3.0,5.0,0.4670890271663666,0.1666666716337204,0.25,63.0,1.0
4,0.20771513879299164,84.0,444.0,0.757910430431366,0.10843373835086823,0.3913043439388275,1134.0,54.0,0.4000000059604645,1.0,4.0,0.4497271776199341,0.4285714328289032,0.75,64.0,3.0
5,0.18390804529190063,74.0,472.0,0.7404896020889282,0.11940298229455948,0.4637681245803833,1106.0,64.0,0.4000000059604645,1.0,4.0,0.43114835023880005,0.4285714328289032,0.75,64.0,3.0
6,0.20645160973072052,68.0,393.0,0.6666069030761719,0.15118791162967682,0.5072463750839233,1185.0,70.0,0.4000000059604645,0.0,4.0,0.41323503851890564,0.5,1.0,64.0,4.0
7,0.24844717979431152,75.0,388.0,0.6568143963813782,0.1396895796060562,0.45652174949645996,1190.0,63.0,0.6666666865348816,0.0,4.0,0.39520272612571716,0.5,1.0,64.0,4.0
8,0.3231707513332367,63.0,363.0,0.6154192090034485,0.17123287916183472,0.54347825050354,1215.0,75.0,0.8571428656578064,0.0,3.0,0.3776160776615143,0.5714285969734192,1.0,65.0,4.0
9,0.3548387289047241,52.0,338.0,0.5800514221191406,0.20283019542694092,0.6231883764266968,1240.0,86.0,0.8571428656578064,0.0,1.0,0.3593968152999878,0.800000011920929,1.0,67.0,4.0
10,0.3987730145454407,42.0,327.0,0.5345727205276489,0.22695034742355347,0.695652186870575,1251.0,96.0,0.8571428656578064,0.0,0.0,0.34093770384788513,1.0,1.0,68.0,4.0
11,0.43046361207962036,34.0,279.0,0.5078893899917603,0.27154046297073364,0.7536231875419617,1299.0,104.0,0.8571428656578064,0.0,0.0,0.323577344417572,1.0,1.0,68.0,4.0
12,0.4654088020324707,34.0,287.0,0.496664822101593,0.2659846544265747,0.7536231875419617,1291.0,104.0,0.8571428656578064,0.0,0.0,0.3072214126586914,1.0,1.0,68.0,4.0
13,0.47096773982048035,35.0,246.0,0.47701048851013184,0.2951289415359497,0.7463768124580383,1332.0,103.0,0.8571428656578064,0.0,0.0,0.29217472672462463,1.0,1.0,68.0,4.0
14,0.5476922988891602,23.0,244.0,0.44407403469085693,0.320334255695343,0.8333333134651184,1334.0,115.0,0.8571428656578064,0.0,0.0,0.27738502621650696,1.0,1.0,68.0,4.0
15,0.5436241626739502,32.0,222.0,0.43495020270347595,0.3231707215309143,0.7681159377098083,1356.0,106.0,0.8571428656578064,0.0,0.0,0.26264238357543945,1.0,1.0,68.0,4.0
16,0.5980707406997681,13.0,186.0,0.39709019660949707,0.40192925930023193,0.9057971239089966,1392.0,125.0,0.8571428656578064,0.0,0.0,0.24947220087051392,1.0,1.0,68.0,4.0
17,0.6490066647529602,13.0,169.0,0.3816062808036804,0.42517006397247314,0.9057971239089966,1409.0,125.0,0.8571428656578064,0.0,0.0,0.23678390681743622,1.0,1.0,68.0,4.0
18,0.6561513543128967,16.0,186.0,0.36516138911247253,0.3961038887500763,0.8840579986572266,1392.0,122.0,0.8571428656578064,0.0,0.0,0.224787637591362,1.0,1.0,68.0,4.0
19,0.700964629650116,9.0,147.0,0.34334588050842285,0.46739131212234497,0.9347826242446899,1431.0,129.0,0.8571428656578064,0.0,0.0,0.21242032945156097,1.0,1.0,68.0,4.0
20,0.6987179517745972,11.0,134.0,0.3344780504703522,0.48659002780914307,0.9202898740768433,1444.0,127.0,0.8571428656578064,0.0,0.0,0.20121999084949493,1.0,1.0,68.0,4.0
